,result,moves
0,-1,"['2R', '9L', '0R', '8L', '2R', '7L', '2R', '6L', '2R', '10L', '2R', '9L', '2R', '9L', '3R', '9L', '1L', '8L', '0L', '7L', '3L', '6L', '2R', '10L', '3R', '9L', '4R', '8L', '2R', '8L', '0L', '9L', '2R', '8L', '0R', '7L', '1R', '6L', '2R', '8L', '2R', '10L', '0L', '8L', '2R', '10L', '0L', '8L', '2R', '10L', '0R']"
1,-1,"['2R', '9L', '0L', '8L', '4R', '8L', '2R', '8L', '4L', '8L', '1L', '7L', '4L', '6L', '2R', '10L', '2R', '8L', '0L', '6L', '2R', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '3R', '7L', '1R', '6L', '2R', '8L', '0R', '9L', '1L', '8L', '0R', '7L', '1R', '6L', '2R', '10L', '3R', '9L', '4L', '8L', '3R', '7L', '2R', '7L', '1R', '7L', '2R', '7L', '3R', '6L', '0L', '8L', '2R', '10L', '0L', '8L', '2R', '10L', '3L', '8L', '2R', '10L', '3R', '9L', '1R', '8L', '2R', '7L', '3R', '8L', '3L', '9L', '2R', '8L', '2R', '10L', '3L', '8L', '2R', '10L', '1R', '9L', '2R', '8L', '3L', '7L', '2R', '6L', '0L', '8L', '2R', '10L', '3L', '8L', '2R', '10L', '3L', '8L', '2R', '10L', '0R', '9L', '1L', '8L', '0L', '7L', '2R', '7L', '1L', '6L', '0L', '10L', '2R', '9L', '3L', '8L', '2R', '7L', '3L', '6L', '2R', '8L', '0L', '9L', '2R', '8L', '0R', '7L', '1L', '6L', '0R', '8L', '1L', '9L', '0R', '8L', '1R', '7L', '2R', '6L', '2R', '10L', '3L', '8L', '2R', '10L', '1L', '8L', '0R', '9L', '1L', '8L', '0L', '9L', '2R', '8L', '0R', '7L', '1L', '6L', '0R', '8L', '1R', '9L', '2R', '8L', '2R', '10L', '1R', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '1R', '7L', '2R', '7L', '3R', '6L', '0L', '8L', '2R', '10L', '3L', '8L', '2R', '10L', '1L', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '0L', '6L', '2R', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '1R', '7L', '2R', '7L', '3L', '6L', '2R', '8L', '2R', '10L', '1L', '9L', '3L', '10L', '2R', '9L', '3L', '8L', '2R', '7L', '0R', '6L', '1L', '8L', '0R', '9L', '1R', '8L', '2R', '10L', '3R', '9L', '4L', '8L', '3L', '7L', '2R', '6L', '2R', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '3L', '6L', '2R', '8L', '2R', '10L', '1R', '9L', '2R', '8L']"
2,-1,"['2R', '9L', '4R', '8L', '4L', '8L', '2R', '10L', '3R', '8L', '1L', '9L', '0R', '8L', '2R', '8L', '2R', '10L', '3L', '8L', '2R', '10L', '3L', '8L', '2R', '10L', '3R', '9L', '4L', '8L', '3R', '7L', '0L', '6L', '2R', '8L', '0R', '9L', '1L', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '1R', '7L', '2R', '7L', '3R', '6L', '3L', '8L', '2R', '10L', '3L', '9L', '2R', '8L', '3L', '7L', '2R', '6L', '2R', '8L', '0R', '9L', '1R', '8L', '2R', '10L', '3R', '9L', '4R', '8L', '2R', '8L', '0R', '9L', '1R', '8L', '2R', '10L', '3L', '9L', '2R', '8L', '3R', '7L', '2R', '7L', '3R', '7L', '4L', '6L', '0L', '8L', '2R', '10L', '1L', '9L', '0R', '8L', '2R', '8L', '2R', '10L', '0R']"
3,1,"['8L', '3R', '8L', '2R', '8L', '2R', '8L', '0R', '8L', '2R', '8L', '3L', '9L', '2R']"
4,1,"['8L', '3R', '8L', '2R', '8L', '2R', '8L', '0R', '8L', '2R', '8L', '3R', '8L', '3L', '9L', '2R', '8L', '3L', '7L', '4R', '7L', '2R', '7L', '1L', '6L', '0R', '8L', '2R', '10L', '3L', '9L', '2R', '8L', '0L', '7L', '3R', '8L', '3R', '9L', '3L', '8L', '2R', '10L', '3L', '9L', '2R', '8L', '3L', '7L', '2R', '6L', '2R', '8L', '0R', '9L', '1L', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '3L', '6L', '2R', '8L', '2R', '10L', '1R', '9L', '2R', '8L']"
5,-1,"['2R', '9L', '3L', '8L', '2R', '9L']"
6,1,"['8L', '3L', '9L', '2R', '8L', '3L', '8L', '2R', '8L', '2R', '8L', '3R', '9L', '3L', '8L']"
7,-1,"['2R', '9L', '4L', '8L', '2R', '8L', '3R', '7L', '2R', '8L', '3L', '9L', '1R', '8L', '2R', '10L', '0L', '9L', '2R']"
8,-1,"['8L', '3L', '9L', '2R', '8L', '4R', '8L', '2R', '8L', '2R', '8L', '2R', '8L', '2R', '8L', '0R', '10L', '2R', '9L', '3R', '8L', '1R', '7L', '2R', '6L', '2R', '8L', '0R', '9L', '1L', '8L', '0R', '7L', '1R', '6L', '2R', '10L', '3L', '9L', '2R', '8L', '3L', '7L', '2R', '6L', '2R', '8L', '0L', '9L', '2R', '8L', '0L', '7L', '2R', '7L', '1L', '6L', '0L', '10L', '2R', '9L', '3R', '8L', '0L', '7L', '1R', '6L', '2R', '8L', '2R', '10L', '3R', '9L', '0R', '8L', '1R', '8L', '2R', '10L', '3R', '9L', '4L', '8L', '3L', '7L', '2R', '6L', '2R', '8L', '0R', '9L', '1R', '8L', '2R', '10L', '3L', '9L', '2R', '8L', '3L', '7L', '2R', '6L', '2R', '8L', '0L', '9L', '2R', '8L', '0R', '7L', '1R', '6L', '2R', '8L', '2R', '10L', '1R', '9L', '2R', '8L', '0R', '7L', '1L', '6L', '0R', '8L', '1R', '9L', '2R', '8L', '2R', '10L', '3L', '8L', '2R', '10L', '1R', '9L', '2R', '8L', '3L', '7L', '2R', '6L', '0L', '8L', '2R', '10L', '1L', '9L', '0L', '10L', '3L', '8L', '2R']"
9,-1,"['8L', '0L', '8L', '4R']"
